
v1	v2	v3	v4	v5	v6	v7	v8	volt	angle
-0.003499	-0.0011364	-0.1809586	-0.0099196	-0.0755614	-0.0778289	-0.0498384	0.0007312	0.0	0.174
-0.0034788	-0.0011644	-0.1809196	-0.0099207	-0.0755405	-0.0779008	-0.0498728	0.0007165	0.0	0.174
-0.0035347	-0.0011726	-0.1809822	-0.0099569	-0.0755342	-0.0778629	-0.0498558	0.0007236	0.0	0.174
-0.001428	0.000182	-0.1807435	-0.0099488	-0.0757716	-0.0774711	-0.0503515	0.0007174	40.0	0.174
-0.001526	9.16e-05	-0.1807937	-0.009969	-0.0758256	-0.0774826	-0.050407	0.0007898	40.0	0.174
-0.0015719	8.6e-05	-0.1808005	-0.0099383	-0.0758409	-0.077486	-0.0504005	0.0007331	40.0	0.174
0.0036636	0.0044573	-0.1809047	-0.0099722	-0.0762777	-0.077234	-0.0526407	0.0017408	80.0	0.174
0.0040347	0.0051358	-0.1808125	-0.0099088	-0.0762569	-0.0772882	-0.0528333	0.0009193	80.0	0.174
0.0038882	0.0048905	-0.1809405	-0.009952	-0.0762641	-0.077318	-0.0528284	0.0009281	80.0	0.174
0.0089443	0.0105799	-0.1809947	-0.0099497	-0.075975	-0.0775683	-0.0558636	0.0007334	120.0	0.174
0.0090599	0.0106102	-0.1810015	-0.0099321	-0.0759959	-0.0775874	-0.0558672	0.0007337	120.0	0.174
0.0089984	0.0105878	-0.181051	-0.0099721	-0.0759942	-0.0776091	-0.0558856	0.0007166	120.0	0.174
0.0098688	0.0122937	-0.1814117	-0.0099003	-0.0758552	-0.0782866	-0.0567571	0.0007372	160.0	0.174
0.0098411	0.0122877	-0.1813371	-0.0099436	-0.0757984	-0.0782607	-0.0567852	0.0007204	160.0	0.174
0.0098348	0.0122738	-0.1813512	-0.0100072	-0.0757959	-0.0782639	-0.0567561	0.000721	160.0	0.174
0.0076258	0.0109661	-0.1812089	-0.0099746	-0.0756131	-0.0789407	-0.0557901	0.0006873	200.0	0.174
0.008254	0.0114622	-0.1813008	-0.0099421	-0.0756345	-0.0788777	-0.0560321	0.0007391	200.0	0.174
0.0081894	0.0113744	-0.1813152	-0.0099388	-0.07565	-0.0788995	-0.0560096	0.0007316	200.0	0.174
0.003786	0.0070892	-0.1813915	-0.0099636	-0.0758392	-0.0792123	-0.0536916	0.000744	240.0	0.174
0.0037547	0.0070947	-0.1814119	-0.0099542	-0.0758276	-0.0792079	-0.0537564	0.0007759	240.0	0.174
0.0038317	0.0071685	-0.1813998	-0.009938	-0.0759003	-0.0791723	-0.0537508	0.0007812	240.0	0.174
0.0007862	0.0040148	-0.1813981	-0.0099645	-0.0758907	-0.0790092	-0.0521962	0.0004147	280.0	0.174
0.0007305	0.00387	-0.1814317	-0.0099695	-0.0758691	-0.0790284	-0.052205	0.0007693	280.0	0.174
0.0008347	0.0040361	-0.1814258	-0.0099824	-0.0758837	-0.0790598	-0.0523078	0.0007404	280.0	0.174
-0.0027008	9.49e-05	-0.1816063	-0.0099636	-0.0757555	-0.0786057	-0.0505931	0.0009133	320.0	0.174
-0.0027606	7.59e-05	-0.1816403	-0.0099433	-0.0758319	-0.0786211	-0.0505987	0.0007869	320.0	0.174
-0.0028081	-5.67e-05	-0.1816667	-0.0099573	-0.0757838	-0.0786226	-0.0506073	0.0005443	320.0	0.174
-0.0021286	8.3e-05	-0.1777946	-0.0099358	-0.0742314	-0.0764624	-0.0495295	0.0007369	0.0	0.128
-0.0021588	8.59e-05	-0.1778016	-0.0099821	-0.074209	-0.0764097	-0.0495732	0.0007215	0.0	0.128
-0.0021297	0.0001152	-0.1778139	-0.0099531	-0.0742464	-0.0764489	-0.0496145	0.0007548	0.0	0.128
-0.0007987	0.0011135	-0.1777578	-0.0099502	-0.0744883	-0.076204	-0.0500953	0.0007865	40.0	0.128
-0.0005562	0.0012072	-0.1778094	-0.0099421	-0.0744691	-0.0762435	-0.0501101	0.0007486	40.0	0.128
-0.000444	0.0012269	-0.1778101	-0.0099717	-0.0744354	-0.0762142	-0.0501298	0.0008054	40.0	0.128
0.0028173	0.004531	-0.1778588	-0.0099269	-0.0747845	-0.0760954	-0.0519486	0.0007888	80.0	0.128
0.0034799	0.0048401	-0.1778933	-0.0099572	-0.0747729	-0.0760734	-0.0519616	0.0007383	80.0	0.128
0.0034649	0.0048128	-0.1779016	-0.0099471	-0.0748046	-0.0761423	-0.0519527	0.0007499	80.0	0.128
0.0073706	0.0090389	-0.1779763	-0.0099326	-0.0746802	-0.0762839	-0.0541899	0.000756	120.0	0.128
0.0074154	0.0090525	-0.178012	-0.0099522	-0.0746571	-0.0763255	-0.0542051	0.0007561	120.0	0.128
0.0074975	0.0092105	-0.178061	-0.0099163	-0.0746532	-0.0763252	-0.0543368	0.0007771	120.0	0.128
0.0085514	0.0108519	-0.1782284	-0.0099389	-0.0745127	-0.0768035	-0.0551423	0.000763	160.0	0.128
0.008539	0.0108486	-0.1782446	-0.0099578	-0.0744772	-0.0768295	-0.0551566	0.0007664	160.0	0.128
0.0085571	0.0109344	-0.1782591	-0.0099758	-0.0744814	-0.076876	-0.0552028	0.0007757	160.0	0.128
0.0071889	0.0103524	-0.1782594	-0.0099282	-0.0743287	-0.0773398	-0.0547666	0.0005042	200.0	0.128
0.0073319	0.0104821	-0.1782708	-0.0099542	-0.0743688	-0.0773577	-0.0547453	0.0007682	200.0	0.128
0.0073243	0.0103765	-0.1782871	-0.0099657	-0.0743427	-0.0773652	-0.0547506	0.0007716	200.0	0.128
0.0035886	0.0068746	-0.1782363	-0.0099702	-0.0744434	-0.0777144	-0.0528385	0.0007743	240.0	0.128
0.0037397	0.0069446	-0.1782937	-0.0099357	-0.0744509	-0.0776519	-0.0529194	0.0007812	240.0	0.128
0.0041673	0.0076066	-0.1783669	-0.0099362	-0.0744449	-0.0776416	-0.0532501	0.0007972	240.0	0.128
0.0007824	0.0036506	-0.1783432	-0.0099537	-0.0744561	-0.0774611	-0.0512594	0.0007772	280.0	0.128
0.0005804	0.003557	-0.1783771	-0.0099287	-0.0744449	-0.0774798	-0.0512744	0.0007781	280.0	0.128
0.0005889	0.0035709	-0.178406	-0.0099715	-0.074513	-0.0775701	-0.051427	0.0008123	280.0	0.128
-0.0020663	0.0005773	-0.1785215	-0.0099511	-0.074418	-0.0771226	-0.0499772	0.0021557	320.0	0.128
-0.0020826	0.0006266	-0.1785484	-0.009954	-0.0744425	-0.0770676	-0.0500217	0.0008421	320.0	0.128
-0.0020979	0.0005768	-0.1785338	-0.0099774	-0.074414	-0.0771445	-0.050003	0.0014887	320.0	0.128
-0.0012243	0.0010897	-0.1763394	-0.009959	-0.0735886	-0.0758208	-0.0496831	0.0007956	0.0	0.092
-0.0012069	0.001038	-0.1763051	-0.0099978	-0.0735859	-0.075881	-0.0496647	0.0007798	0.0	0.092
-0.0013092	0.0010301	-0.1763491	-0.0099834	-0.0736114	-0.0759119	-0.0496481	0.0007989	0.0	0.092
0.0007578	0.0025477	-0.1762938	-0.0099554	-0.0738285	-0.0756035	-0.0504032	0.0008406	40.0	0.092
0.0008386	0.0026301	-0.1763136	-0.0099568	-0.073829	-0.0756065	-0.0504126	0.000786	40.0	0.092
0.0008479	0.0026237	-0.1762786	-0.0099775	-0.0738244	-0.0756106	-0.0504137	0.0008463	40.0	0.092
0.0033397	0.0048816	-0.1763391	-0.0099852	-0.0739584	-0.0755357	-0.0514958	0.0024052	80.0	0.092
0.0031705	0.0047567	-0.1763272	-0.0099434	-0.0739871	-0.0755031	-0.0515114	0.0002141	80.0	0.092
0.0031725	0.0047487	-0.1763291	-0.009945	-0.073985	-0.0755376	-0.0515039	-0.0001574	80.0	0.092
0.0060696	0.0077575	-0.1763673	-0.0099484	-0.0739418	-0.0756553	-0.0530251	0.0034844	120.0	0.092
0.0060291	0.0077253	-0.1764185	-0.0099476	-0.0739202	-0.0756586	-0.0530221	-0.0001397	120.0	0.092
0.0059956	0.0076894	-0.1763997	-0.0099767	-0.0739318	-0.0756469	-0.0530251	-0.0020258	120.0	0.092
0.0074645	0.009909	-0.1765709	-0.0099819	-0.0737249	-0.0761689	-0.0541601	0.0008117	160.0	0.092
0.0074825	0.0099094	-0.1765772	-0.0099714	-0.0737429	-0.0761874	-0.0541581	0.0008228	160.0	0.092
0.0074811	0.0099043	-0.1765805	-0.0099799	-0.0737579	-0.0761801	-0.054182	0.0008571	160.0	0.092
0.0062072	0.0091627	-0.1765785	-0.0099364	-0.0736566	-0.0765605	-0.0536365	0.0008156	200.0	0.092
0.0061873	0.0091668	-0.176574	-0.0099612	-0.0736347	-0.0766045	-0.0536246	0.000809	200.0	0.092
0.0061754	0.0091776	-0.1766235	-0.0099214	-0.0736503	-0.0766203	-0.0536391	0.0008689	200.0	0.092
0.0036588	0.0067045	-0.1766027	-0.0099693	-0.0736734	-0.0767588	-0.0523135	0.0008385	240.0	0.092
0.0036329	0.0067074	-0.1766498	-0.0099287	-0.0737119	-0.0767828	-0.0523285	0.0008317	240.0	0.092
0.0036377	0.0067194	-0.1766568	-0.0099227	-0.0736829	-0.0767769	-0.0523265	0.0008584	240.0	0.092
0.0008696	0.0037969	-0.1766022	-0.0099275	-0.0736906	-0.0766062	-0.0508945	0.0008703	280.0	0.092
0.0008393	0.0038051	-0.1766513	-0.0099927	-0.0736972	-0.0767369	-0.0509847	0.0008042	280.0	0.092
0.000878	0.0038176	-0.1766353	-0.0099581	-0.0736913	-0.0766463	-0.0508728	0.0008606	280.0	0.092
-0.0009911	0.0016868	-0.1767386	-0.0099822	-0.0736876	-0.0763568	-0.0499859	0.0008548	320.0	0.092
-0.001005	0.0016859	-0.1767274	-0.0098905	-0.0737083	-0.0763573	-0.0500076	0.0008339	320.0	0.092
-0.0009761	0.0017222	-0.1767779	-0.0099351	-0.0737234	-0.0763474	-0.0500459	0.0008461	320.0	0.092
-0.0002076	0.0020998	-0.1741455	-0.010006	-0.0725968	-0.0749297	-0.0495952	0.0008725	0.0	0.051
-0.0001827	0.0021712	-0.1741618	-0.0099964	-0.0725312	-0.0749667	-0.0495419	0.000856	0.0	0.051
-0.0001904	0.0021473	-0.1740934	-0.0099591	-0.0726273	-0.0749494	-0.0495852	0.0008286	0.0	0.051
0.0010427	0.003761	-0.1741205	-0.0099441	-0.0728354	-0.0747683	-0.0502007	0.0008106	40.0	0.051
0.0013805	0.0033138	-0.1741262	-0.0099704	-0.0728561	-0.0747663	-0.0501344	0.0008476	40.0	0.051
0.0013402	0.0033196	-0.1741456	-0.0099336	-0.0728241	-0.074748	-0.0501539	0.0008162	40.0	0.051
0.0036882	0.0054109	-0.1742161	-0.0099123	-0.0729539	-0.0746665	-0.0512429	0.0008131	80.0	0.051
0.003647	0.0054281	-0.1741622	-0.009951	-0.0729307	-0.074687	-0.0511584	0.0008308	80.0	0.051
0.0036435	0.0054058	-0.1741827	-0.0099581	-0.0729281	-0.0747287	-0.0512211	0.0008245	80.0	0.051
0.005689	0.0075537	-0.174248	-0.0100022	-0.0728372	-0.0748478	-0.0523434	0.0008504	120.0	0.051
0.0055297	0.0075155	-0.1742783	-0.0099449	-0.072854	-0.0748312	-0.052308	0.000805	120.0	0.051
0.005552	0.0075684	-0.1742719	-0.0099684	-0.0728755	-0.0748705	-0.0523094	0.0008612	120.0	0.051
0.0063049	0.0087247	-0.174317	-0.0099642	-0.072784	-0.0751563	-0.0529176	0.0008616	160.0	0.051
0.006273	0.008594	-0.1743615	-0.0099658	-0.0727915	-0.0750942	-0.0528692	0.0008474	160.0	0.051
0.0062923	0.0086907	-0.1743555	-0.0099499	-0.0727841	-0.0751969	-0.0528917	0.0008642	160.0	0.051
