
v1	v2	v3	v4	v5	v6	v7	v8	time
0.0031125	0.0056173	-0.1813172	-0.0099363	-0.0773722	-0.082769	-0.0537614	0.0026798	11.81
0.0008539	0.0045305	-0.1906527	-0.0100086	-0.0800448	-0.0832093	-0.0549167	0.0010936	24.42
0.0013086	0.0044637	-0.1904926	-0.0100048	-0.0799169	-0.0829305	-0.0547336	0.0010898	37.04
0.0013101	0.0044598	-0.1896165	-0.0099964	-0.0794287	-0.0825057	-0.0543852	0.001071	49.53
0.0012896	0.0044286	-0.1883623	-0.0099909	-0.0787163	-0.0818374	-0.0540269	0.0010567	62.06
0.0012463	0.0043786	-0.1866212	-0.0099767	-0.0779154	-0.0810233	-0.0533788	0.0010395	74.62
0.0012539	0.0043508	-0.1845643	-0.010021	-0.0770545	-0.0801034	-0.0528372	0.000967	87.14
0.0011296	0.0042774	-0.1824356	-0.0099822	-0.0760226	-0.0790938	-0.0522392	0.0009432	99.65
0.0010544	0.0041875	-0.1800277	-0.0099781	-0.0749603	-0.0779236	-0.0516017	0.0008432	112.16
0.0010019	0.0041394	-0.1775374	-0.009957	-0.0738452	-0.0768474	-0.0509144	0.0007729	124.7
0.0009584	0.0040516	-0.1750062	-0.0099597	-0.0727108	-0.0756712	-0.0502485	0.0007365	137.25
0.0009526	0.0039306	-0.172483	-0.0099353	-0.0715712	-0.0745412	-0.0495086	0.0006438	149.72
0.0008717	0.0039041	-0.1699256	-0.0099521	-0.0704439	-0.0734085	-0.0488443	0.000599	162.27
0.0007795	0.0038209	-0.1673681	-0.0099729	-0.0693762	-0.07222	-0.0481403	0.0004202	174.78
0.0007476	0.0037534	-0.1648929	-0.009947	-0.06825	-0.0710938	-0.0474642	0.0004016	187.3
0.0006724	0.0036565	-0.1624638	-0.0099902	-0.0672066	-0.0700167	-0.0468045	0.0003246	199.83
0.0006593	0.003593	-0.1600504	-0.009939	-0.0662345	-0.0689372	-0.0460984	0.0002589	212.37
0.0005951	0.003521	-0.1577656	-0.009962	-0.0651596	-0.0679222	-0.0455037	0.0001768	224.9
0.0005469	0.0034777	-0.1554853	-0.0099768	-0.0642021	-0.0669082	-0.044905	0.0001057	237.37
0.0005477	0.0034055	-0.1533209	-0.0099882	-0.0632789	-0.0660406	-0.0443712	3.67e-05	249.9
0.0005267	0.0033917	-0.1512563	-0.0099309	-0.0623755	-0.0650941	-0.0436936	-2.8e-05	262.41
0.0005088	0.0032981	-0.1491953	-0.0099558	-0.0614906	-0.0641647	-0.043186	-0.0001022	274.92
0.00042	0.003181	-0.1472053	-0.0099244	-0.0606419	-0.0632638	-0.0426262	-0.0001741	287.49
0.0004019	0.0031294	-0.1453697	-0.0099381	-0.0598466	-0.0624669	-0.0421061	-0.0002277	300.0
0.0003682	0.0030929	-0.1435553	-0.0099508	-0.0590635	-0.0616616	-0.0416166	-0.0003014	312.56
0.0003594	0.0030712	-0.1418196	-0.0099327	-0.0582969	-0.0609345	-0.041153	-0.000376	325.09
0.0003187	0.0029722	-0.1402159	-0.0099505	-0.0576645	-0.0602068	-0.0406942	-0.0004036	337.61
0.0003081	0.002881	-0.1386246	-0.0099384	-0.0569684	-0.0594717	-0.0403325	-0.0004707	350.25
0.0002449	0.0028549	-0.137188	-0.0099928	-0.0562836	-0.0587923	-0.0398931	-0.0005209	362.79
0.0003186	0.0029266	-0.1357572	-0.0100312	-0.0557815	-0.0581557	-0.0394826	-0.0005819	375.32
0.0002242	0.0027646	-0.1343819	-0.0099497	-0.0551549	-0.0576607	-0.0391588	-0.0006227	387.85
0.00022	0.0027339	-0.1331635	-0.009999	-0.0546181	-0.0571307	-0.0387979	-0.0006747	400.39
0.0001648	0.0027069	-0.1319186	-0.0099352	-0.0540832	-0.0565371	-0.0384722	-0.0007122	412.93
0.0001763	0.0026852	-0.1307646	-0.0099707	-0.0535567	-0.0560597	-0.0381564	-0.0007612	425.43
0.0001418	0.0026421	-0.1296767	-0.0099414	-0.0531106	-0.055562	-0.0378285	-0.0008099	437.95
0.000151	0.0026098	-0.1286189	-0.0099621	-0.0526675	-0.0551086	-0.0375702	-0.0008521	450.44
0.0001502	0.002564	-0.1276374	-0.009975	-0.0521838	-0.0546996	-0.0372698	-0.0008873	463.0
0.0001345	0.0025381	-0.1266701	-0.0099569	-0.0518561	-0.0542381	-0.0370373	-0.0009204	475.56
0.0001169	0.0025207	-0.1257288	-0.0099375	-0.0514262	-0.0538354	-0.0368051	-0.0009684	488.07
6.01e-05	0.0024724	-0.1248863	-0.0099353	-0.0510808	-0.053404	-0.0365285	-0.0009839	500.6
6.35e-05	0.0024536	-0.1240935	-0.009954	-0.0507319	-0.0530614	-0.0362615	-0.0009972	513.09
4.79e-05	0.002439	-0.1232865	-0.0099659	-0.0503961	-0.052781	-0.0361105	-0.0010491	525.65
2.43e-05	0.0024052	-0.1225361	-0.0099532	-0.0500631	-0.0524229	-0.0358496	-0.0010834	538.26
5.82e-05	0.002497	-0.1217965	-0.0099389	-0.0498067	-0.0520799	-0.0357348	-0.0010597	550.76
1.55e-05	0.0023757	-0.121123	-0.0100218	-0.0495212	-0.051784	-0.0355669	-0.0011282	563.32
2.9e-05	0.0023544	-0.1204706	-0.0099445	-0.049259	-0.0515221	-0.0353917	-0.0012044	575.83
7.1e-05	0.0023968	-0.1198858	-0.0099894	-0.0489201	-0.0512657	-0.0352039	-0.00117	588.34
1.92e-05	0.0023958	-0.1194257	-0.0099737	-0.0487044	-0.0509383	-0.0350096	-0.0006748	600.85
7.41e-05	0.0023329	-0.1189385	-0.0099077	-0.0485222	-0.0508286	-0.034908	-0.0012793	613.41
-1.86e-05	0.0023046	-0.1184458	-0.009965	-0.0484001	-0.0506244	-0.034804	-0.0012727	625.99
-8.2e-06	0.0022654	-0.1179658	-0.0099364	-0.0481733	-0.0504322	-0.034696	-0.0011765	638.54
-1.69e-05	0.0022613	-0.1176238	-0.0099721	-0.0480032	-0.0502966	-0.0345812	-0.0012129	651.1
-5.8e-06	0.0022644	-0.117274	-0.009936	-0.0479044	-0.0501471	-0.0344966	-0.0012953	663.66
-4.01e-05	0.0022267	-0.116956	-0.0099434	-0.0477573	-0.0500138	-0.0344073	-0.0012427	676.23
-3.05e-05	0.00222	-0.1166997	-0.0099556	-0.0476662	-0.0499107	-0.0343406	-0.0012883	688.78
-2.53e-05	0.0022319	-0.1164449	-0.0099341	-0.0475291	-0.0497692	-0.0342583	-0.0012686	701.33
-4.02e-05	0.0022206	-0.1161926	-0.0099785	-0.0474302	-0.0496863	-0.0342104	-0.001398	713.89
-5e-05	0.0021853	-0.1160181	-0.0099387	-0.0473926	-0.0495207	-0.0341729	-0.0013606	726.47
-3.65e-05	0.002211	-0.1157716	-0.009963	-0.0473275	-0.0494384	-0.0341482	-0.0012995	739.01
-8.17e-05	0.0021649	-0.1156336	-0.0099611	-0.0472271	-0.0494208	-0.0340743	-0.0013434	751.63
-4.95e-05	0.0021444	-0.1155179	-0.0100313	-0.0471751	-0.0493464	-0.0340448	-0.0013269	764.19
-1.39e-05	0.0022547	-0.115391	-0.009966	-0.047174	-0.0493439	-0.0339923	-0.0013733	776.75
-2.68e-05	0.0021866	-0.1152574	-0.0099665	-0.0470598	-0.0493022	-0.0339642	-0.0014264	789.26
-2.62e-05	0.0021889	-0.115177	-0.009948	-0.0470204	-0.0492653	-0.0339015	-0.0014279	801.81
-1.25e-05	0.002192	-0.1151066	-0.0098898	-0.0469185	-0.0492376	-0.0339117	-0.0013845	814.32
-7.57e-05	0.0021357	-0.1150265	-0.0099441	-0.0469796	-0.0491302	-0.0338892	-0.0014148	826.83
-3.5e-05	0.0022273	-0.1149742	-0.0099577	-0.0469288	-0.049144	-0.033855	-0.0013932	839.42
-6.02e-05	0.0021785	-0.1148738	-0.0099529	-0.0469006	-0.0491314	-0.0338455	-0.0013969	851.92
-6.22e-05	0.0021685	-0.1148101	-0.0099035	-0.0468437	-0.0490963	-0.0338865	-0.0013854	864.48
-2.57e-05	0.0021935	-0.1148014	-0.0099527	-0.0468728	-0.049073	-0.0338565	-0.0013965	877.02
-3.62e-05	0.0021773	-0.1147584	-0.0099561	-0.0468942	-0.0490885	-0.0338408	-0.0014099	889.58
-2.79e-05	0.0021407	-0.1147772	-0.0099381	-0.0468448	-0.0490645	-0.0337642	-0.0013923	902.13
-3.04e-05	0.0021639	-0.1147687	-0.0099605	-0.0468464	-0.0490725	-0.0338805	-0.0014267	914.68
-4.52e-05	0.0021615	-0.1147711	-0.0099581	-0.0468789	-0.0490806	-0.0338335	-0.0014066	927.23
-9.68e-05	0.0021275	-0.1147986	-0.0099102	-0.0468314	-0.0490645	-0.0338515	-0.0014179	939.79
-3.23e-05	0.0021718	-0.1148143	-0.0099362	-0.0467867	-0.0489916	-0.0338288	-0.0014069	952.32
2.99e-05	0.0021642	-0.1147353	-0.0099626	-0.046822	-0.0490927	-0.0338638	-0.0014042	964.89
-4.76e-05	0.0021681	-0.1148236	-0.0099846	-0.0468204	-0.0491633	-0.0338234	-0.0014338	977.43
-1.75e-05	0.0022103	-0.1148353	-0.009912	-0.046878	-0.0491261	-0.033857	-0.0014231	989.98
-4.88e-05	0.0021614	-0.1149194	-0.0099789	-0.0469114	-0.0490759	-0.0338693	-0.0014031	1002.5
-1.38e-05	0.002163	-0.1148983	-0.0099742	-0.0469165	-0.0491495	-0.0338985	-0.0013965	1015.03
-3.66e-05	0.0021644	-0.1149516	-0.0099654	-0.0469605	-0.0491694	-0.0338947	-0.0014253	1027.62
-1.95e-05	0.0021886	-0.115001	-0.0099637	-0.0470297	-0.0492056	-0.0338772	-0.0014182	1040.19
-3.54e-05	0.0021654	-0.1150573	-0.0099759	-0.0469828	-0.0492095	-0.0339138	-0.001436	1052.75
-2.92e-05	0.0021611	-0.1151058	-0.009952	-0.04701	-0.0492216	-0.0339256	-0.0013635	1065.29
9e-07	0.0021699	-0.1151785	-0.0099812	-0.04699	-0.0492436	-0.0339658	-0.0013781	1077.88
-7.18e-05	0.0022056	-0.1151572	-0.0099084	-0.0434873	-0.0447188	-0.0321275	-0.0014185	1090.44
0.0016214	0.0033972	-0.1056031	-0.0098697	-0.0429091	-0.0445384	-0.0320358	-0.0014421	1102.93
0.0016661	0.0032401	-0.1055272	-0.0099595	-0.0429314	-0.0444995	-0.0320486	-0.001428	1115.51
0.0016214	0.0032386	-0.1056297	-0.0099603	-0.0429449	-0.0445509	-0.0319262	-0.0014424	1128.07
-0.001721	-0.0007937	-0.1146367	-0.009925	-0.0466995	-0.0488394	-0.0333952	-0.0014147	1140.64
-0.0006545	0.0015173	-0.1135618	-0.009959	-0.046275	-0.0482815	-0.0330927	-0.001463	1153.23
-0.000714	0.0014394	-0.1122017	-0.0099507	-0.0455296	-0.047645	-0.0326348	-0.0015278	1165.82
-0.0007047	0.0014012	-0.1104913	-0.0099682	-0.0447805	-0.0467893	-0.0321402	-0.001564	1178.44
-0.0007689	0.001369	-0.1084086	-0.0099668	-0.043797	-0.04581	-0.031541	-0.0016324	1191.0
-0.0008202	0.0012955	-0.1058246	-0.0099543	-0.0426116	-0.0445682	-0.0307865	-0.0017239	1203.57
-0.0008787	0.0012668	-0.1028793	-0.0099564	-0.0412977	-0.0432441	-0.0299651	-0.0018222	1216.08
-0.0009225	0.0011891	-0.099798	-0.0099152	-0.0399097	-0.0418871	-0.0291439	-0.0019161	1228.64
-0.0009308	0.0010982	-0.0966945	-0.0099132	-0.0385389	-0.0404554	-0.0283054	-0.0020299	1241.22
-0.000963	0.0010502	-0.0936208	-0.0099544	-0.0372931	-0.0392318	-0.0275266	-0.0021302	1253.79
-0.0010575	0.0010167	-0.0909013	-0.0099005	-0.036055	-0.0379572	-0.0268743	-0.0022334	1266.35
-0.0010757	0.0009728	-0.0882705	-0.0099333	-0.0349905	-0.0367791	-0.0261788	-0.0023412	1278.91
-0.0011672	0.0008693	-0.0859185	-0.0099284	-0.0338979	-0.0357547	-0.0255571	-0.002419	1291.46
-0.0011578	0.0009181	-0.0836166	-0.0099035	-0.0329485	-0.0348361	-0.0250624	-0.0025053	1304.04
-0.0011998	0.0007707	-0.0816105	-0.0099054	-0.0320534	-0.033919	-0.0243956	-0.0025846	1316.58
-0.0011747	0.0008174	-0.0796501	-0.0099091	-0.0311689	-0.033104	-0.0239297	-0.0026544	1329.11
-0.0012645	0.0008544	-0.0779581	-0.0099332	-0.0304596	-0.0323061	-0.0235395	-0.0027403	1341.68
-0.001242	0.0007661	-0.0761899	-0.0099686	-0.0296486	-0.0315492	-0.0230836	-0.0028435	1354.24
-0.0012442	0.0007469	-0.0746464	-0.0099556	-0.0289703	-0.0309048	-0.0227094	-0.0028691	1366.83
-0.0012396	0.0007436	-0.0731392	-0.0099426	-0.0283642	-0.0302616	-0.0223468	-0.0029408	1379.43
-0.0012562	0.0007219	-0.071818	-0.009923	-0.0277309	-0.0296757	-0.0219932	-0.0029986	1392.02
-0.0012779	0.0007185	-0.0704885	-0.0099478	-0.027125	-0.0291296	-0.0216538	-0.0030814	1404.57
-0.0013619	0.0007384	-0.06935	-0.0099745	-0.0266261	-0.028627	-0.021363	-0.0031031	1417.13
-0.001288	0.0006609	-0.0682465	-0.0099431	-0.0261984	-0.0281106	-0.0211247	-0.0031576	1429.72
