
v1	v2	v3	v4	v5	v6	v7	v8	volt
6.8e-06	0.0031385	-0.18461	-0.0099091	-0.0771826	-0.08032	-0.0526634	0.000863	0.227
-4.05e-05	0.0031943	-0.1845983	-0.0099584	-0.0771875	-0.0803558	-0.0526866	0.000865	0.227
-2.81e-05	0.0031718	-0.1846117	-0.0099806	-0.0771896	-0.0803285	-0.0527111	0.0008671	0.227
3.43e-05	0.0031569	-0.1846369	-0.0099588	-0.0772019	-0.0803165	-0.052692	0.0008641	0.227
-2.2e-06	0.0031429	-0.1846234	-0.0099515	-0.0771804	-0.0803316	-0.0527459	0.0008652	0.227
0.0001874	0.00325	-0.1831883	-0.0099655	-0.0765517	-0.0796452	-0.0523717	0.0008313	0.204
0.0001584	0.0032943	-0.1831974	-0.0099766	-0.0765449	-0.079673	-0.0524365	0.0008639	0.204
0.00015	0.0032355	-0.183182	-0.009984	-0.0765439	-0.0796458	-0.0523632	0.0008605	0.204
0.0001588	0.0032765	-0.183188	-0.0099752	-0.0765324	-0.0796703	-0.0524042	0.0008734	0.204
0.0001728	0.0033145	-0.1831724	-0.0099589	-0.0765443	-0.0796491	-0.0523881	0.0008243	0.204
0.000354	0.0034472	-0.1816082	-0.0099787	-0.0758438	-0.0789119	-0.0520287	0.0008682	0.191
0.0003633	0.0034608	-0.1815977	-0.0099563	-0.0758512	-0.078937	-0.0520521	0.0008668	0.191
0.0003454	0.0034405	-0.1815961	-0.0099458	-0.075821	-0.0789147	-0.052044	0.0008628	0.191
0.0003625	0.0034476	-0.1815808	-0.0099369	-0.0758466	-0.0788947	-0.0520401	0.0008692	0.191
0.0003489	0.00343	-0.1815969	-0.009965	-0.0758269	-0.0788971	-0.0520504	0.0008644	0.191
0.0005565	0.0036222	-0.1800231	-0.0099391	-0.0751438	-0.0782131	-0.0517041	0.0008558	0.166
0.0005898	0.0035872	-0.180044	-0.0099852	-0.0751414	-0.0781942	-0.0517112	0.0008658	0.166
0.0005694	0.0036207	-0.1800411	-0.0099371	-0.0751362	-0.078191	-0.0516983	0.0008683	0.166
0.000564	0.0036063	-0.1800473	-0.0099749	-0.0751703	-0.0781787	-0.0516782	0.0008669	0.166
0.000563	0.0036151	-0.1800309	-0.0099103	-0.0751544	-0.0781541	-0.0517033	0.0008616	0.166
0.0007988	0.0038476	-0.1783768	-0.0099465	-0.07436	-0.077379	-0.0513592	0.0008646	0.144
