
v1	v2	v3	v4	v5	v6	v7	v8	time
0.000664	0.0017557	-0.0469489	-0.0099439	-0.0175048	-0.0185823	-0.0162016	-0.003799	12.41
0.0007482	0.0017801	-0.0470601	-0.0099687	-0.0175641	-0.0186686	-0.0162443	-0.0038021	25.22
0.0006804	0.0017923	-0.0472024	-0.0099708	-0.0176271	-0.0187251	-0.016302	-0.0037936	37.75
0.0007068	0.0017749	-0.0473061	-0.0099543	-0.0176787	-0.0187935	-0.0162979	-0.0037901	50.29
0.0006719	0.0017549	-0.0474633	-0.009959	-0.0177588	-0.0188928	-0.0163138	-0.003783	62.83
0.0006919	0.001782	-0.0476489	-0.0099853	-0.0177649	-0.0189124	-0.0163846	-0.0037768	75.36
0.0007576	0.001816	-0.0477664	-0.0099534	-0.017893	-0.0189991	-0.0164217	-0.0037723	87.9
0.0007116	0.0018092	-0.0479084	-0.0100157	-0.0179379	-0.0190116	-0.0165154	-0.0037674	100.46
0.000688	0.0017472	-0.0481212	-0.0099724	-0.018072	-0.0191385	-0.0165285	-0.0037471	112.99
0.000706	0.0018245	-0.0482609	-0.0099291	-0.0181036	-0.0192276	-0.0165454	-0.0037466	125.56
0.00077	0.0017703	-0.0484992	-0.0099869	-0.0181908	-0.0192813	-0.0165834	-0.0037406	138.07
0.0007193	0.0018515	-0.0486112	-0.0099741	-0.0182426	-0.0193453	-0.0166626	-0.0037296	150.64
0.0006483	0.0018	-0.048759	-0.0099527	-0.0183554	-0.0194047	-0.0167308	-0.0037212	163.19
0.0007532	0.0017995	-0.0489776	-0.009954	-0.0184022	-0.0194941	-0.0167591	-0.0037221	175.71
0.0006724	0.0018196	-0.049134	-0.0099454	-0.01847	-0.019599	-0.0167833	-0.0037107	188.24
0.0007147	0.0017855	-0.0492622	-0.0099609	-0.0185362	-0.0196965	-0.0168344	-0.0037024	200.8
0.0006699	0.0018547	-0.0494418	-0.0099673	-0.0185761	-0.0197566	-0.0169023	-0.0036938	213.29
0.0004518	0.0018218	-0.0496521	-0.0099451	-0.0187008	-0.0198179	-0.0169765	-0.0036764	225.8
