
v1	v2	v3	v4	v5	v6	v7	v8	time
-0.0017491	0.0001461	-0.0693095	-0.0099723	-0.0269123	-0.0288312	-0.0212427	-0.0032288	11.81
-0.0017661	0.0001346	-0.0695444	-0.0099589	-0.0269414	-0.028911	-0.0213099	-0.0032272	24.41
-0.0017489	9.59e-05	-0.0697294	-0.0099514	-0.0271232	-0.0289277	-0.0213723	-0.003212	36.97
-0.0017449	0.0001483	-0.0699529	-0.0099751	-0.0271848	-0.0290524	-0.0213939	-0.0032009	49.53
-0.0017213	0.0001954	-0.0701975	-0.0099875	-0.0272641	-0.029247	-0.0214973	-0.0031915	62.1
-0.0017622	0.0001689	-0.0704007	-0.0099397	-0.0273524	-0.0292854	-0.0215242	-0.0031894	74.69
-0.0017393	0.0001365	-0.0705524	-0.00995	-0.0274783	-0.029373	-0.021562	-0.0031712	87.25
-0.0017393	0.0001731	-0.0707414	-0.0099777	-0.0275329	-0.0294171	-0.0215801	-0.0031731	99.84
-0.0017166	0.0001683	-0.0707822	-0.0099678	-0.0275367	-0.029458	-0.0216181	-0.0031683	112.35
-0.0017434	0.0001572	-0.0708035	-0.0099412	-0.0275573	-0.0294508	-0.0215593	-0.0031565	124.91
-0.0016862	0.0001289	-0.0707852	-0.0099361	-0.0275221	-0.029388	-0.0215978	-0.0031682	137.44
-0.0017201	0.0001369	-0.0707115	-0.0099407	-0.0274923	-0.0294196	-0.0215895	-0.0031671	150.01
-0.0016899	0.0001515	-0.0706876	-0.0099361	-0.0275015	-0.0293587	-0.0215576	-0.0031769	162.55
-0.0017306	0.0001871	-0.0706156	-0.0099609	-0.0274588	-0.0293184	-0.0215391	-0.0031728	175.09
-0.0017335	0.0001591	-0.0705361	-0.0099769	-0.0273626	-0.0292935	-0.0215319	-0.0031832	187.62
-0.0017558	0.0001509	-0.0704998	-0.0099343	-0.0274141	-0.0292587	-0.0215132	-0.0031738	200.18
-0.0017557	0.0001536	-0.0704737	-0.0099415	-0.0273731	-0.0293051	-0.0215188	-0.0031755	212.73
-0.0017443	0.0001446	-0.0704628	-0.0099873	-0.0273986	-0.0292792	-0.0215154	-0.003174	225.29
-0.0017467	0.0001459	-0.0704479	-0.0099653	-0.0274045	-0.0292915	-0.0215418	-0.00318	237.87
-0.001752	0.0002014	-0.0704936	-0.0099539	-0.0274067	-0.0293063	-0.0215278	-0.0031747	250.39
-0.0017216	0.000139	-0.0705815	-0.0099605	-0.0274284	-0.0292966	-0.0215086	-0.0031818	262.95
-0.0017619	0.0001793	-0.0705916	-0.0100205	-0.0274242	-0.0292727	-0.0215955	-0.0031625	275.54
-0.001725	0.0001461	-0.0706975	-0.0099097	-0.0275159	-0.0293651	-0.0216047	-0.0031608	288.08
-0.0017351	0.0001448	-0.0707657	-0.0099545	-0.027505	-0.0294354	-0.0216455	-0.0031718	300.59
-0.001678	0.0001621	-0.0708813	-0.0099076	-0.0275619	-0.0294947	-0.0216518	-0.0031493	313.17
-0.0017527	0.0001582	-0.0709586	-0.0099826	-0.0276368	-0.0295206	-0.0216784	-0.0031692	325.73
-0.0016807	0.0001663	-0.07111	-0.0099601	-0.0276994	-0.0295911	-0.0217132	-0.0031401	338.27
-0.0016824	0.0001578	-0.0711882	-0.0099651	-0.0277354	-0.0296237	-0.0217498	-0.0031516	350.83
-0.0017433	0.000157	-0.0713497	-0.0099537	-0.0277825	-0.0296947	-0.0217621	-0.0031456	363.4
-0.0017059	0.000188	-0.0714744	-0.0099887	-0.0278305	-0.0297429	-0.0217689	-0.0031332	375.97
-0.0017377	0.0001743	-0.0716151	-0.009974	-0.0278915	-0.0298031	-0.0218343	-0.0031289	388.5
-0.0017173	0.0001528	-0.0717248	-0.0099787	-0.0279651	-0.0298634	-0.0218315	-0.0031238	401.07
-0.0017273	0.0001406	-0.0718565	-0.0099528	-0.0280503	-0.0299246	-0.0218488	-0.0031144	413.63
-0.0017191	0.0001554	-0.0719674	-0.0099492	-0.0280876	-0.0299414	-0.0219132	-0.0031297	426.21
-0.0017202	0.0001694	-0.0720934	-0.0099773	-0.0281135	-0.0300478	-0.0219395	-0.0031163	438.76
-0.0017229	0.0001794	-0.0722185	-0.0099598	-0.0281832	-0.0300376	-0.0219958	-0.0031125	451.32
-0.0017012	0.0001709	-0.0723196	-0.0099567	-0.0282161	-0.0301514	-0.0219915	-0.003115	463.86
-0.0017275	0.0001875	-0.072503	-0.0099505	-0.0283037	-0.0301748	-0.0220126	-0.0030733	476.41
-0.0017222	0.0001635	-0.0725484	-0.0099375	-0.0283392	-0.0302515	-0.0220469	-0.0030902	488.95
-0.0016919	0.0001387	-0.0726593	-0.0099358	-0.0283735	-0.0302799	-0.022096	-0.0030917	501.49
-0.0017034	0.0001988	-0.0727381	-0.0099726	-0.0283756	-0.0302989	-0.0220916	-0.0030958	514.03
-0.0017079	0.0001979	-0.0728551	-0.0099423	-0.028428	-0.0303689	-0.0221426	-0.0030754	526.59
-0.0017156	0.0001858	-0.072968	-0.0099681	-0.0285028	-0.0303988	-0.0221602	-0.0030592	539.16
-0.0016503	0.0002129	-0.0730441	-0.0099493	-0.0286069	-0.0304704	-0.0222265	-0.0030535	551.67
-0.0017248	0.0001789	-0.0731601	-0.0099497	-0.0286234	-0.0305193	-0.0222292	-0.0030819	564.25
-0.0017352	0.0002336	-0.0732698	-0.0099009	-0.0286348	-0.0306017	-0.0222691	-0.0030712	576.81
-0.0016908	0.0002247	-0.0733667	-0.0099489	-0.0287314	-0.0306272	-0.0222993	-0.0030415	589.38
-0.0016842	0.0001892	-0.0735132	-0.009895	-0.0287819	-0.030608	-0.0222958	-0.0030527	601.89
-0.0017246	0.0001938	-0.0736028	-0.0099638	-0.0288071	-0.0307065	-0.0223219	-0.0030582	614.46
-0.0016669	0.0001924	-0.0736735	-0.009937	-0.0288531	-0.0307161	-0.0223772	-0.0030524	627.01
-0.0017239	0.0001969	-0.0737709	-0.0099394	-0.0288587	-0.0307594	-0.0223567	-0.0030392	639.5
-0.0017127	0.0002057	-0.0738172	-0.0099757	-0.0288885	-0.0308059	-0.0223701	-0.0030354	652.07
-0.0017063	0.0002052	-0.0738678	-0.0099683	-0.028942	-0.030845	-0.0224248	-0.0030127	664.68
-0.0017169	0.0002142	-0.0739394	-0.0099335	-0.0289084	-0.030848	-0.0224238	-0.0030368	677.22
-0.0017283	0.0001863	-0.073996	-0.0100041	-0.0290099	-0.0308889	-0.0224153	-0.0030358	689.76
-0.0017271	0.0002075	-0.0740498	-0.009913	-0.0290688	-0.030937	-0.0224862	-0.0030355	702.31
-0.0017071	0.0002102	-0.0741907	-0.0099674	-0.0290436	-0.0309608	-0.0224762	-0.0030364	714.86
-0.0017188	0.0001877	-0.0742575	-0.0099295	-0.0291213	-0.0310072	-0.0224918	-0.0030263	727.39
-0.0016393	0.000207	-0.0744135	-0.0099461	-0.029122	-0.0310498	-0.0225167	-0.0030048	740.0
-0.0016675	0.0002479	-0.0745109	-0.0099695	-0.0292242	-0.03112	-0.022585	-0.0029983	752.54
-0.0016958	0.0002169	-0.074627	-0.0099678	-0.0292589	-0.0311493	-0.0226099	-0.0030003	765.1
-0.001704	0.0002086	-0.0747344	-0.0099557	-0.0293407	-0.0312139	-0.0226523	-0.0030096	777.61
-0.0017054	0.000203	-0.0749155	-0.0099538	-0.0294056	-0.0312734	-0.0226965	-0.0029939	790.15
