
v1	v2	v3	v4	v5	v6	v7	v8	time
0.0005242	0.0015421	-0.0429912	-0.0099935	-0.0158999	-0.016863	-0.0151551	-0.004174	11.67
0.0005501	0.0015518	-0.0431115	-0.0099775	-0.0159624	-0.0168945	-0.0153334	-0.0040081	27.11
0.0005789	0.0014876	-0.0433691	-0.0101416	-0.0158289	-0.0170432	-0.0154699	-0.003975	42.56
0.000615	0.0024396	-0.0438497	-0.0100382	-0.0164768	-0.0170896	-0.0152697	-0.0039898	58.05
0.0005357	0.0015977	-0.0436588	-0.0096833	-0.0161147	-0.0171609	-0.0153236	-0.0039731	73.48
0.0006298	0.0017108	-0.0438207	-0.009987	-0.0162358	-0.0172379	-0.0155099	-0.0039893	88.92
0.0005488	0.0015905	-0.0441541	-0.0099871	-0.0163622	-0.0173932	-0.0155012	-0.003963	104.41
0.0006799	0.0017289	-0.0441694	-0.0099254	-0.0163762	-0.0174292	-0.015416	-0.003946	119.85
-0.0004159	0.0013688	-0.0445934	-0.010078	-0.0165524	-0.0175903	-0.0155634	-0.0039341	135.28
0.0006609	0.0016915	-0.0445482	-0.0099416	-0.0165029	-0.017606	-0.0157246	-0.0039453	150.75
0.0006747	0.0016263	-0.0447782	-0.0099016	-0.0165038	-0.0175724	-0.0155648	-0.0039219	166.21
0.0007304	0.0015444	-0.0450439	-0.0100515	-0.0167386	-0.0177783	-0.0157154	-0.0039089	181.69
0.0006217	0.0019583	-0.0451367	-0.0099556	-0.0167562	-0.0179401	-0.0158298	-0.0038847	197.1
0.0006944	0.001597	-0.0452618	-0.0098457	-0.0168722	-0.0178784	-0.0158157	-0.0038973	212.54
0.0006581	0.00173	-0.0455036	-0.0098227	-0.0169131	-0.0179937	-0.01578	-0.0038826	228.02
0.0007724	0.001806	-0.0456229	-0.0099286	-0.0169729	-0.0180507	-0.01588	-0.0038709	243.52
0.0007811	0.0016258	-0.0462275	-0.0097449	-0.0167951	-0.0179764	-0.0169456	-0.0038664	258.96
0.0006744	0.0016928	-0.0458401	-0.0099689	-0.0170543	-0.0181141	-0.016025	-0.0038783	274.41
0.0006705	0.0016652	-0.0458609	-0.0098033	-0.0170801	-0.0181296	-0.0159204	-0.0038637	289.91
0.0006548	0.0017043	-0.0457837	-0.0100168	-0.0173522	-0.0179312	-0.0157967	-0.0038602	305.4
0.000645	0.0017552	-0.0457912	-0.0099615	-0.0170087	-0.0180664	-0.0158571	-0.0038586	320.85
0.0006935	0.00172	-0.0457299	-0.0099311	-0.0170246	-0.0180808	-0.0158772	-0.0038718	336.31
0.0006761	0.0017432	-0.0456649	-0.009932	-0.0169885	-0.0180548	-0.0158321	-0.003868	351.76
0.000701	0.0017884	-0.0457777	-0.0096677	-0.0170838	-0.0179705	-0.0158577	-0.003867	367.23
0.0006625	0.0017576	-0.0457203	-0.0100616	-0.0169605	-0.0180609	-0.0171164	-0.0039142	382.7
0.0007319	0.0017255	-0.0457415	-0.0099169	-0.0170203	-0.0181371	-0.0158487	-0.0038547	398.2
0.000678	0.0018362	-0.045858	-0.0102199	-0.0171393	-0.0182114	-0.0161344	-0.0038557	413.69
0.0007254	0.0017739	-0.045922	-0.0099281	-0.0170831	-0.0182135	-0.0159522	-0.0038537	429.17
0.0006951	0.0016915	-0.0460275	-0.0091257	-0.017143	-0.0182839	-0.0159566	-0.0038536	444.64
0.000684	0.0016517	-0.0462583	-0.0099529	-0.0171753	-0.0182505	-0.0161603	-0.0038442	460.1
0.0007059	0.0017398	-0.0463401	-0.0099532	-0.0171859	-0.0184079	-0.0161036	-0.0038409	475.55
0.0006524	0.0017373	-0.0464566	-0.0099087	-0.017402	-0.0183824	-0.0159712	-0.0038259	490.97
0.0006815	0.001703	-0.0465095	-0.009998	-0.0173827	-0.01845	-0.016048	-0.0038137	506.43
0.0007536	0.0017628	-0.0466766	-0.0099863	-0.0174582	-0.018485	-0.0161919	-0.0038161	521.86
