
v1	v2	v3	v4	v5	v6	v7	v8	time
-0.0015348	0.0001844	-0.0504882	-0.0099142	-0.018627	-0.0202579	-0.0163484	-0.0039844	11.91
-0.0014986	0.0001409	-0.0503457	-0.0099243	-0.0185678	-0.0202297	-0.0162976	-0.0039985	24.47
-0.0015082	0.0001312	-0.0501455	-0.0099666	-0.0184539	-0.0201579	-0.0162594	-0.0040033	36.98
-0.0015306	0.000135	-0.0500113	-0.0099626	-0.0184339	-0.0201212	-0.0161792	-0.0040134	49.49
-0.001533	0.000102	-0.0498256	-0.0099518	-0.0183285	-0.019964	-0.0161522	-0.0040284	61.99
-0.0015665	0.0001051	-0.0497196	-0.0099064	-0.0183425	-0.0199505	-0.0161466	-0.0040251	74.48
-0.0015245	0.0001113	-0.0495131	-0.0099655	-0.0182366	-0.019864	-0.0160773	-0.0040377	86.97
-0.0015538	8.82e-05	-0.0493754	-0.0099655	-0.0181671	-0.0197982	-0.0160374	-0.0040468	99.53
-0.0015591	0.0001182	-0.0492847	-0.009922	-0.0181134	-0.0197657	-0.0159985	-0.0040535	111.99
-0.0015357	9.09e-05	-0.0491479	-0.0099725	-0.0180598	-0.0196894	-0.0159754	-0.0040365	124.49
-0.0015567	0.0001251	-0.0490384	-0.0099557	-0.0179956	-0.0196855	-0.0159708	-0.0040541	136.97
-0.0015395	9.94e-05	-0.0489549	-0.0099234	-0.0179994	-0.0195561	-0.015938	-0.0040693	149.44
-0.0015342	7.35e-05	-0.0487903	-0.0099343	-0.0179026	-0.0195749	-0.0158774	-0.0040619	161.96
-0.0014918	8.36e-05	-0.0487091	-0.0099442	-0.0178787	-0.0194951	-0.0158593	-0.0040815	174.46
-0.0015186	8.39e-05	-0.0486157	-0.0099467	-0.0178422	-0.0194751	-0.0158302	-0.0040729	187.01
-0.001576	4.18e-05	-0.0485033	-0.0099477	-0.0177734	-0.0194424	-0.015781	-0.004118	199.52
-0.001529	5.09e-05	-0.0484099	-0.0099744	-0.0177526	-0.0193478	-0.0157984	-0.0040939	212.01
-0.0015438	7.82e-05	-0.0483455	-0.0099345	-0.0177329	-0.0192903	-0.0157065	-0.0040918	224.52
-0.0015522	5.01e-05	-0.0482549	-0.0099121	-0.0177411	-0.0192611	-0.0157612	-0.0041011	237.0
-0.0015588	5.04e-05	-0.0482101	-0.0099523	-0.0176741	-0.0192933	-0.0156989	-0.0041012	249.56
-0.0015503	6.44e-05	-0.0481612	-0.0099244	-0.0176748	-0.0192279	-0.0157217	-0.0041074	262.05
-0.0015408	6.98e-05	-0.0480658	-0.0099646	-0.0176096	-0.0192469	-0.0157184	-0.0041089	274.56
-0.0015349	4.39e-05	-0.0480514	-0.0099357	-0.0175963	-0.019192	-0.0156906	-0.0041081	287.06
-0.0015786	5.89e-05	-0.0479723	-0.0099394	-0.0175666	-0.0191568	-0.0156542	-0.0041149	299.57
-0.0015273	8.41e-05	-0.0479196	-0.009948	-0.017556	-0.0191397	-0.015646	-0.0041195	312.09
-0.0015758	5.84e-05	-0.0478537	-0.0099552	-0.0175285	-0.0191229	-0.0156257	-0.0041166	324.57
-0.0015359	7.9e-05	-0.047836	-0.0099348	-0.0175049	-0.0190978	-0.0156155	-0.0041266	337.08
